# manually compiled from https://ja.wikipedia.org/wiki/%E7%86%9F%E5%AD%97%E8%A8%93
一昨昨日	さきおととい
一昨日	おととい
一昨年	おととし
昨日	きのう
今日	きょう
明日	あす	あした
明後日	あさって
明明後日	しあさって
弥明後日	やのあさって
一日	ついたち
晦日	つごもり	みそか
如月	きさらぎ
弥生	やよい
五月	さつき
皐月	さつき
師走	しわす	しはす
今年	ことし
今朝	けさ
十六夜	いざよい
七夕	たなばた
一寸	ちょっと
下手	へた
大人	おとな
従兄弟	いとこ
伯父	おじ
叔父	おじ
伯母	おば
叔母	おば
曾孫	ひまご
玄孫	やしゃご
二十歳	はたち
二十	はたち
女将	おかみ
乳母	うば	おんば
梅雨	つゆ
時雨	しぐれ
五月雨	さみだれ
雪崩	なだれ
吹雪	ふぶき
陽炎	かげろう
紅葉	もみじ
疾風	はやて
息吹	いぶき
土筆	つくし
女郎花	おみなえし
山葵	わさび
百合	ゆり
海月	くらげ
水母	くらげ
海老	えび
烏賊	いか
小豆	あずき
桜桃	さくらんぼ
大蛇	おろち
銀杏	いちょう
無花果	いちじく
心太	ところてん
心天	ところてん
果物	くだもの
灰汁	あく
河岸	かし
海女	あま
眼鏡	めがね
足袋	たび
竹刀	しない
団扇	うちわ
松明	たいまつ
蚊帳	かや
浴衣	ゆかた
母屋	おもや
母家	おもや
大和	やまと
流鏑馬	やぶさめ
鏑流馬	やぶさめ
太刀	たち
山車	だし
お神酒	おみき
神楽	かぐら
祝詞	のりと
女形	おやま
土産	みやげ
田舎	いなか
相撲	すもう
鍛冶	かじ
玩具	おもちゃ
欠伸	あくび
九十九	つくも
台詞	せりふ
科白	せりふ
二十	はた	はたち
八百	やお
十八番	おはこ
為替	かわせ
美人局	つつもたせ
可笑	おか
美味	おい
流石	さすが
老舗	しにせ
相応	ふさわ
可惜	あたら
可惜身命	あたらしんみょう
不味	まず
祖母	ばあ
祖父	じい
