一人	ひとり
一日	ついたち
七夕	たなばた
三味線	しゃみせん
上手	じょうず
下手	へた
乙女	おとめ
乳母	うば
二人	ふたり
二十	はたち
二十日	はつか
二十歳	はたち
二日	ふつか
五月	さつき
五月雨	さみだれ
今年	ことし
今日	きょう
今朝	けさ
仮名	かな
仲人	なこうど
伝馬船	てんません
伯母	おば
伯父	おじ
八百屋	やおや
八百長	やおちょう
凸凹	でこぼこ
十重二十重	とえはたえ
博士	はかせ
友達	ともだち
叔母	おば
叔父	おじ
名残	なごり
吹雪	ふぶき
固唾	かたず
土産	みやげ
大和	やまと
大人	おとな
太刀	たち
寄席	よせ
小豆	あずき
尻尾	しっぽ
居士	こじ
山車	だし
川原	かわら
師走	しはす	しわす
弥生	やよい
心地	ここち
息吹	いぶき
息子	むすこ
意気地	いくじ
投網	とあみ
数奇屋	すきや
数寄屋	すきや
数珠	じゅず
日和	ひより
早乙女	さおとめ
早苗	さなえ
明日	あす
昨日	きのう
時計	とけい
時雨	しぐれ
景色	けしき
木綿	もめん
果物	くだもの
桟敷	さじき
梅雨	つゆ
母家	おもや
母屋	おもや
河原	かわら
河岸	かし
波止場	はとば
浮気	うわき
浴衣	ゆかた
海原	うなばら
海士	あま
海女	あま
清水	しみず
為替	かわせ
猛者	もさ
玄人	くろうと
田舎	いなか
白髪	しらが
相撲	すもう
真面目	まじめ
眼鏡	めがね
砂利	じゃり
硫黄	いおう
祝詞	のりと
神楽	かぐら
神酒	みき
稚児	ちご
竹刀	しない
笑顔	えがお
築山	つきやま
紅葉	もみじ
素人	しろうと
老舗	しにせ
芝生	しばふ
若人	わこうど
草履	ぞうり
蚊帳	かや
行方	ゆくえ
読経	どきょう
足袋	たび
迷子	まいご
部屋	へや
野良	のら
鍛冶	かじ
雑魚	ざこ
雪崩	なだれ
風邪	かぜ
